AREA_NAME,Year,Crime_Type,POPULATION_2023,Crime_Count,Crime_Rate_per_1000
Area 90,2014,ASSAULT,7210,6,0.8321775312066575
Area 91,2014,ASSAULT,7285,0,0
Area 92,2014,ASSAULT,23761,18,0.7575438744160599
Area 93,2014,ASSAULT,37280,23,0.6169527896995709
Area 94,2014,ASSAULT,12825,5,0.3898635477582846
Area 95,2014,ASSAULT,19750,12,0.6075949367088608
Area 96,2014,ASSAULT,29262,6,0.2050440844781628
Area 97,2014,ASSAULT,30448,17,0.5583289542827116
Area 98,2014,ASSAULT,15686,5,0.3187555782226189
Area 99,2014,ASSAULT,32454,18,0.5546311702717693
Area 100,2014,ASSAULT,17636,11,0.6237242004989794
Area 1,2015,ASSAULT,7985,2,0.25046963055729493
Area 2,2015,ASSAULT,34924,18,0.5154048791661894
Area 3,2015,ASSAULT,34709,10,0.28810971217839754
Area 4,2015,ASSAULT,7756,3,0.3867973182052605
Area 5,2015,ASSAULT,14641,5,0.34150672768253537
Area 6,2015,ASSAULT,36312,13,0.3580083718880811
Area 7,2015,ASSAULT,19182,9,0.46918986549890523
Area 8,2015,ASSAULT,20179,10,0.495564695971059
Area 9,2015,ASSAULT,32167,16,0.4974041719774925
Area 10,2015,ASSAULT,29172,13,0.44563279857397503
Area 11,2015,ASSAULT,14096,3,0.21282633371169124
Area 12,2015,ASSAULT,35537,22,0.6190730787629795
Area 13,2015,ASSAULT,33980,12,0.3531489111241907
Area 14,2015,ASSAULT,12988,5,0.384970742223591
Area 15,2015,ASSAULT,18535,11,0.5934718100890207
Area 16,2015,ASSAULT,29540,13,0.4400812457684496
Area 17,2015,ASSAULT,11215,5,0.44583147570218457
Area 18,2015,ASSAULT,22982,14,0.609172395788008
Area 19,2015,ASSAULT,34393,15,0.43613526008199344
Area 20,2015,ASSAULT,33824,17,0.5026017029328288
Area 21,2015,ASSAULT,5040,0,0
Area 22,2015,ASSAULT,19425,9,0.4633204633204633
Area 23,2015,ASSAULT,12283,5,0.4070666775217781
Area 24,2015,ASSAULT,33501,19,0.5671472493358407
Area 25,2015,ASSAULT,16472,10,0.6070908207867897
Area 26,2015,ASSAULT,17300,7,0.4046242774566474
Area 27,2015,ASSAULT,11133,8,0.7185843887541543
Area 28,2015,ASSAULT,38522,13,0.3374694979492238
Area 29,2015,ASSAULT,26811,19,0.7086643541829846
Area 30,2015,ASSAULT,14639,7,0.4781747387116606
Area 31,2015,ASSAULT,24741,17,0.6871185481589265
Area 32,2015,ASSAULT,14325,10,0.6980802792321117
Area 33,2015,ASSAULT,31509,7,0.22215874829413818
Area 34,2015,ASSAULT,25959,9,0.34670056627759155
Area 35,2015,ASSAULT,19402,11,0.5669518606329245
Area 36,2015,ASSAULT,10966,3,0.273572861572132
Area 37,2015,ASSAULT,33798,19,0.5621634416237647
Area 38,2015,ASSAULT,31835,13,0.40835558347730483
Area 39,2015,ASSAULT,17048,4,0.23463162834350068
Area 40,2015,ASSAULT,20149,4,0.19852101841282446
Area 41,2015,ASSAULT,10026,11,1.0971474167165371
Area 42,2015,ASSAULT,37605,18,0.47865975269246114
Area 43,2015,ASSAULT,21151,14,0.6619072384284431
Area 44,2015,ASSAULT,30558,16,0.5235944760782774
Area 45,2015,ASSAULT,19214,4,0.20818153429790778
Area 46,2015,ASSAULT,19286,13,0.6740640879394378
Area 47,2015,ASSAULT,28193,16,0.5675167594793034
Area 48,2015,ASSAULT,29557,12,0.4059951957235173
Area 49,2015,ASSAULT,39975,16,0.4002501563477173
Area 50,2015,ASSAULT,19490,8,0.4104669061056952
Area 51,2015,ASSAULT,22412,8,0.3569516330537212
Area 52,2015,ASSAULT,17047,7,0.4106294362644453
Area 53,2015,ASSAULT,39723,20,0.5034866450167409
Area 54,2015,ASSAULT,25476,9,0.35327366933584553
Area 55,2015,ASSAULT,22368,13,0.5811874105865522
Area 56,2015,ASSAULT,36541,17,0.46523083659451026
Area 57,2015,ASSAULT,26068,16,0.6137793463249962
Area 58,2015,ASSAULT,35574,10,0.2811041772080733
Area 59,2015,ASSAULT,38752,12,0.3096614368290669
Area 60,2015,ASSAULT,23890,13,0.5441607367099205
Area 61,2015,ASSAULT,16283,7,0.42989621077197077
Area 62,2015,ASSAULT,21578,10,0.4634349800722959
Area 63,2015,ASSAULT,31800,17,0.5345911949685535
Area 64,2015,ASSAULT,30901,19,0.6148668327885829
Area 65,2015,ASSAULT,33077,15,0.45348731747135473
Area 66,2015,ASSAULT,8832,6,0.6793478260869565
Area 67,2015,ASSAULT,31027,17,0.5479098849389242
Area 68,2015,ASSAULT,19535,11,0.5630918863578194
Area 69,2015,ASSAULT,22532,8,0.3550505947097461
Area 70,2015,ASSAULT,31502,10,0.31744016252936325
Area 71,2015,ASSAULT,27762,16,0.5763273539370363
Area 72,2015,ASSAULT,37952,18,0.47428330522765594
Area 73,2015,ASSAULT,5412,1,0.18477457501847747
Area 74,2015,ASSAULT,15761,7,0.4441342554406446
Area 75,2015,ASSAULT,35570,15,0.4217036828788305
Area 76,2015,ASSAULT,13985,8,0.5720414730067931
Area 77,2015,ASSAULT,19744,12,0.6077795786061588
Area 78,2015,ASSAULT,30945,18,0.58167716917111
Area 79,2015,ASSAULT,19803,9,0.4544765944553856
Area 80,2015,ASSAULT,11600,5,0.43103448275862066
Area 81,2015,ASSAULT,11789,3,0.254474510136568
Area 82,2015,ASSAULT,5617,2,0.35606195478013175
Area 83,2015,ASSAULT,36516,14,0.3833935808960456
Area 84,2015,ASSAULT,5538,3,0.5417118093174431
Area 85,2015,ASSAULT,37262,12,0.32204390531909183
Area 86,2015,ASSAULT,35452,12,0.33848584000902626
Area 87,2015,ASSAULT,8624,3,0.34786641929499074
Area 88,2015,ASSAULT,20581,13,0.6316505514795199
Area 89,2015,ASSAULT,24391,9,0.368988561354598
Area 90,2015,ASSAULT,7210,2,0.27739251040221913
Area 91,2015,ASSAULT,7285,4,0.5490734385724091
Area 92,2015,ASSAULT,23761,11,0.4629434788098144
Area 93,2015,ASSAULT,37280,13,0.3487124463519313
Area 94,2015,ASSAULT,12825,6,0.46783625730994155
Area 95,2015,ASSAULT,19750,10,0.5063291139240507
Area 96,2015,ASSAULT,29262,15,0.5126102111954071
Area 97,2015,ASSAULT,30448,12,0.394114555964267
Area 98,2015,ASSAULT,15686,1,0.06375111564452378
Area 99,2015,ASSAULT,32454,24,0.7395082270290257
Area 100,2015,ASSAULT,17636,7,0.39691540031753236
Area 1,2016,ASSAULT,7985,5,0.6261740763932373
Area 2,2016,ASSAULT,34924,18,0.5154048791661894
Area 3,2016,ASSAULT,34709,17,0.4897865107032758
Area 4,2016,ASSAULT,7756,5,0.6446621970087675
Area 5,2016,ASSAULT,14641,7,0.4781094187555495
Area 6,2016,ASSAULT,36312,19,0.5232430050671955
Area 7,2016,ASSAULT,19182,8,0.4170576582212491
Area 8,2016,ASSAULT,20179,13,0.6442341047623767
Area 9,2016,ASSAULT,32167,16,0.4974041719774925
Area 10,2016,ASSAULT,29172,9,0.30851501439736734
Area 11,2016,ASSAULT,14096,13,0.9222474460839954
Area 12,2016,ASSAULT,35537,14,0.39395559557644144
Area 13,2016,ASSAULT,33980,11,0.3237198351971748
Area 14,2016,ASSAULT,12988,5,0.384970742223591
Area 15,2016,ASSAULT,18535,9,0.4855678446182897
Area 16,2016,ASSAULT,29540,16,0.5416384563303994
Area 17,2016,ASSAULT,11215,6,0.5349977708426215
Area 18,2016,ASSAULT,22982,15,0.6526847097728657
Area 19,2016,ASSAULT,34393,13,0.377983892071061
Area 20,2016,ASSAULT,33824,16,0.47303689687795647
Area 21,2016,ASSAULT,5040,2,0.3968253968253968
Area 22,2016,ASSAULT,19425,13,0.6692406692406693
Area 23,2016,ASSAULT,12283,2,0.1628266710087112
Area 24,2016,ASSAULT,33501,12,0.35819826273842575
Area 25,2016,ASSAULT,16472,8,0.48567265662943176
Area 26,2016,ASSAULT,17300,8,0.4624277456647399
Area 27,2016,ASSAULT,11133,5,0.4491152429713464
Area 28,2016,ASSAULT,38522,13,0.3374694979492238
Area 29,2016,ASSAULT,26811,13,0.48487561075677893
Area 30,2016,ASSAULT,14639,10,0.6831067695880866
Area 31,2016,ASSAULT,24741,14,0.5658623337779394
Area 32,2016,ASSAULT,14325,9,0.6282722513089005
Area 33,2016,ASSAULT,31509,10,0.31736964042019744
Area 34,2016,ASSAULT,25959,11,0.4237451365615008
Area 35,2016,ASSAULT,19402,11,0.5669518606329245
Area 36,2016,ASSAULT,10966,3,0.273572861572132
Area 37,2016,ASSAULT,33798,19,0.5621634416237647
Area 38,2016,ASSAULT,31835,16,0.5025914873566829
Area 39,2016,ASSAULT,17048,7,0.4106053496011262
Area 40,2016,ASSAULT,20149,7,0.3474117822224428
Area 41,2016,ASSAULT,10026,1,0.09974067424695791
Area 42,2016,ASSAULT,37605,14,0.37229091876080306
Area 43,2016,ASSAULT,21151,10,0.47279088459174506
Area 44,2016,ASSAULT,30558,11,0.3599712023038157
Area 45,2016,ASSAULT,19214,8,0.41636306859581557
Area 46,2016,ASSAULT,19286,5,0.2592554184382454
Area 47,2016,ASSAULT,28193,10,0.3546979746745646
Area 48,2016,ASSAULT,29557,13,0.43982812870047705
Area 49,2016,ASSAULT,39975,13,0.3252032520325203
Area 50,2016,ASSAULT,19490,15,0.7696254489481785
Area 51,2016,ASSAULT,22412,10,0.44618954131715155
Area 52,2016,ASSAULT,17047,10,0.586613480377779
Area 53,2016,ASSAULT,39723,20,0.5034866450167409
Area 54,2016,ASSAULT,25476,13,0.5102841890406656
Area 55,2016,ASSAULT,22368,14,0.6258941344778255
Area 56,2016,ASSAULT,36541,12,0.3283982375961249
Area 57,2016,ASSAULT,26068,12,0.4603345097437471
Area 58,2016,ASSAULT,35574,18,0.5059875189745319
Area 59,2016,ASSAULT,38752,18,0.4644921552436003
Area 60,2016,ASSAULT,23890,13,0.5441607367099205
Area 61,2016,ASSAULT,16283,7,0.42989621077197077
Area 62,2016,ASSAULT,21578,5,0.23171749003614794
Area 63,2016,ASSAULT,31800,13,0.4088050314465409
Area 64,2016,ASSAULT,30901,22,0.711951069544675
Area 65,2016,ASSAULT,33077,15,0.45348731747135473
Area 66,2016,ASSAULT,8832,5,0.5661231884057971
Area 67,2016,ASSAULT,31027,12,0.38675991878041704
Area 68,2016,ASSAULT,19535,11,0.5630918863578194
Area 69,2016,ASSAULT,22532,11,0.488194567725901
Area 70,2016,ASSAULT,31502,14,0.4444162275411085
Area 71,2016,ASSAULT,27762,17,0.6123478135581011
Area 72,2016,ASSAULT,37952,14,0.36888701517706574
Area 73,2016,ASSAULT,5412,3,0.5543237250554324
Area 74,2016,ASSAULT,15761,14,0.8882685108812892
Area 75,2016,ASSAULT,35570,18,0.5060444194545966
Area 76,2016,ASSAULT,13985,6,0.42903110475509476
Area 77,2016,ASSAULT,19744,14,0.7090761750405187
Area 78,2016,ASSAULT,30945,9,0.290838584585555
Area 79,2016,ASSAULT,19803,8,0.40397919507145386
Area 80,2016,ASSAULT,11600,2,0.17241379310344826
Area 81,2016,ASSAULT,11789,6,0.508949020273136
Area 82,2016,ASSAULT,5617,2,0.35606195478013175
Area 83,2016,ASSAULT,36516,17,0.4655493482309125
Area 84,2016,ASSAULT,5538,1,0.18057060310581438
Area 85,2016,ASSAULT,37262,12,0.32204390531909183
Area 86,2016,ASSAULT,35452,11,0.31027868667494074
Area 87,2016,ASSAULT,8624,4,0.46382189239332094
Area 88,2016,ASSAULT,20581,13,0.6316505514795199
Area 89,2016,ASSAULT,24391,12,0.49198474847279733
Area 90,2016,ASSAULT,7210,4,0.5547850208044383
Area 91,2016,ASSAULT,7285,6,0.8236101578586136
Area 92,2016,ASSAULT,23761,12,0.5050292496107066
Area 93,2016,ASSAULT,37280,22,0.5901287553648068
Area 94,2016,ASSAULT,12825,3,0.23391812865497078
Area 95,2016,ASSAULT,19750,11,0.5569620253164557
Area 96,2016,ASSAULT,29262,19,0.6493062675141822
Area 97,2016,ASSAULT,30448,11,0.361271676300578
Area 98,2016,ASSAULT,15686,7,0.44625780951166644
Area 99,2016,ASSAULT,32454,17,0.5238183274788932
Area 100,2016,ASSAULT,17636,8,0.45361760036289406
Area 1,2017,ASSAULT,7985,5,0.6261740763932373
Area 2,2017,ASSAULT,34924,18,0.5154048791661894
Area 3,2017,ASSAULT,34709,14,0.40335359704975654
Area 4,2017,ASSAULT,7756,5,0.6446621970087675
Area 5,2017,ASSAULT,14641,11,0.7513148009015778
Area 6,2017,ASSAULT,36312,17,0.4681647940074906
Area 7,2017,ASSAULT,19182,9,0.46918986549890523
Area 8,2017,ASSAULT,20179,10,0.495564695971059
Area 9,2017,ASSAULT,32167,14,0.4352286504803059
Area 10,2017,ASSAULT,29172,18,0.6170300287947347
Area 11,2017,ASSAULT,14096,3,0.21282633371169124
Area 12,2017,ASSAULT,35537,5,0.14069842699158625
Area 13,2017,ASSAULT,33980,16,0.47086521483225424
Area 14,2017,ASSAULT,12988,11,0.8469356328919002
Area 15,2017,ASSAULT,18535,9,0.4855678446182897
Area 16,2017,ASSAULT,29540,13,0.4400812457684496
Area 17,2017,ASSAULT,11215,4,0.3566651805617477
Area 18,2017,ASSAULT,22982,13,0.5656600818031502
Area 19,2017,ASSAULT,34393,14,0.4070595760765272
Area 20,2017,ASSAULT,33824,17,0.5026017029328288
Area 21,2017,ASSAULT,5040,2,0.3968253968253968
Area 22,2017,ASSAULT,19425,9,0.4633204633204633
Area 23,2017,ASSAULT,12283,3,0.24424000651306685
Area 24,2017,ASSAULT,33501,18,0.5372973941076387
Area 25,2017,ASSAULT,16472,5,0.30354541039339483
Area 26,2017,ASSAULT,17300,10,0.5780346820809249
Area 27,2017,ASSAULT,11133,5,0.4491152429713464
Area 28,2017,ASSAULT,38522,24,0.6230206115985671
Area 29,2017,ASSAULT,26811,12,0.44757748685241133
Area 30,2017,ASSAULT,14639,10,0.6831067695880866
Area 31,2017,ASSAULT,24741,4,0.1616749525079827
Area 32,2017,ASSAULT,14325,6,0.418848167539267
Area 33,2017,ASSAULT,31509,13,0.4125805325462566
Area 34,2017,ASSAULT,25959,8,0.30817828113563694
Area 35,2017,ASSAULT,19402,8,0.41232862591485414
Area 36,2017,ASSAULT,10966,4,0.36476381542950936
Area 37,2017,ASSAULT,33798,16,0.4734007929463282
Area 38,2017,ASSAULT,31835,21,0.6596513271556463
Area 39,2017,ASSAULT,17048,7,0.4106053496011262
Area 40,2017,ASSAULT,20149,15,0.7444538190480917
Area 41,2017,ASSAULT,10026,5,0.4987033712347895
Area 42,2017,ASSAULT,37605,10,0.26592208482914503
Area 43,2017,ASSAULT,21151,10,0.47279088459174506
Area 44,2017,ASSAULT,30558,13,0.42542051181360035
Area 45,2017,ASSAULT,19214,6,0.3122723014468617
Area 46,2017,ASSAULT,19286,13,0.6740640879394378
Area 47,2017,ASSAULT,28193,13,0.461107367076934
Area 48,2017,ASSAULT,29557,9,0.30449639679263796
Area 49,2017,ASSAULT,39975,21,0.525328330206379
Area 50,2017,ASSAULT,19490,12,0.6157003591585428
Area 51,2017,ASSAULT,22412,8,0.3569516330537212
Area 52,2017,ASSAULT,17047,13,0.7625975244911128
Area 53,2017,ASSAULT,39723,30,0.7552299675251114
Area 54,2017,ASSAULT,25476,16,0.6280420788192809
Area 55,2017,ASSAULT,22368,6,0.26824034334763946
Area 56,2017,ASSAULT,36541,16,0.4378643167948332
Area 57,2017,ASSAULT,26068,9,0.3452508823078103
Area 58,2017,ASSAULT,35574,16,0.4497666835329173
Area 59,2017,ASSAULT,38752,19,0.49029727497935593
Area 60,2017,ASSAULT,23890,12,0.5023022185014651
Area 61,2017,ASSAULT,16283,6,0.3684824663759749
Area 62,2017,ASSAULT,21578,10,0.4634349800722959
Area 63,2017,ASSAULT,31800,10,0.31446540880503143
Area 64,2017,ASSAULT,30901,13,0.4206983592763988
Area 65,2017,ASSAULT,33077,13,0.3930223418085074
Area 66,2017,ASSAULT,8832,4,0.4528985507246377
Area 67,2017,ASSAULT,31027,12,0.38675991878041704
Area 68,2017,ASSAULT,19535,3,0.15357051446122344
Area 69,2017,ASSAULT,22532,12,0.5325758920646192
Area 70,2017,ASSAULT,31502,15,0.47616024379404487
Area 71,2017,ASSAULT,27762,10,0.36020459621064765
Area 72,2017,ASSAULT,37952,18,0.47428330522765594
Area 73,2017,ASSAULT,5412,4,0.7390983000739099
Area 74,2017,ASSAULT,15761,6,0.3806865046634097
Area 75,2017,ASSAULT,35570,17,0.4779308405960079
Area 76,2017,ASSAULT,13985,5,0.3575259206292456
Area 77,2017,ASSAULT,19744,9,0.4558346839546191
Area 78,2017,ASSAULT,30945,11,0.3554693811601228
Area 79,2017,ASSAULT,19803,6,0.30298439630359036
Area 80,2017,ASSAULT,11600,6,0.5172413793103449
Area 81,2017,ASSAULT,11789,6,0.508949020273136
Area 82,2017,ASSAULT,5617,1,0.17803097739006588
Area 83,2017,ASSAULT,36516,17,0.4655493482309125
Area 84,2017,ASSAULT,5538,2,0.36114120621162876
Area 85,2017,ASSAULT,37262,21,0.5635768343084108
Area 86,2017,ASSAULT,35452,15,0.4231073000112828
Area 87,2017,ASSAULT,8624,2,0.23191094619666047
Area 88,2017,ASSAULT,20581,5,0.24294251979981538
Area 89,2017,ASSAULT,24391,10,0.4099872903939978
Area 90,2017,ASSAULT,7210,5,0.6934812760055479
Area 91,2017,ASSAULT,7285,9,1.2354152367879203
Area 92,2017,ASSAULT,23761,12,0.5050292496107066
Area 93,2017,ASSAULT,37280,22,0.5901287553648068
Area 94,2017,ASSAULT,12825,6,0.46783625730994155
Area 95,2017,ASSAULT,19750,7,0.35443037974683544
Area 96,2017,ASSAULT,29262,14,0.4784361971157132
Area 97,2017,ASSAULT,30448,11,0.361271676300578
Area 98,2017,ASSAULT,15686,5,0.3187555782226189
Area 99,2017,ASSAULT,32454,12,0.36975411351451287
Area 100,2017,ASSAULT,17636,10,0.5670220004536176
Area 1,2018,ASSAULT,7985,4,0.5009392611145899
Area 2,2018,ASSAULT,34924,11,0.314969648379338
Area 3,2018,ASSAULT,34709,19,0.5474084531389553
Area 4,2018,ASSAULT,7756,6,0.773594636410521
Area 5,2018,ASSAULT,14641,9,0.6147121098285637
Area 6,2018,ASSAULT,36312,18,0.49570389953734306
Area 7,2018,ASSAULT,19182,7,0.36492545094359297
Area 8,2018,ASSAULT,20179,4,0.19822587838842362
Area 9,2018,ASSAULT,32167,13,0.40414088973171264
Area 10,2018,ASSAULT,29172,12,0.41135335252982314
Area 11,2018,ASSAULT,14096,5,0.3547105561861521
Area 12,2018,ASSAULT,35537,15,0.4220952809747587
Area 13,2018,ASSAULT,33980,13,0.3825779870512066
Area 14,2018,ASSAULT,12988,8,0.6159531875577456
Area 15,2018,ASSAULT,18535,8,0.43161586188292417
Area 16,2018,ASSAULT,29540,16,0.5416384563303994
Area 17,2018,ASSAULT,11215,3,0.26749888542131073
Area 18,2018,ASSAULT,22982,6,0.2610738839091463
Area 19,2018,ASSAULT,34393,25,0.7268921001366557
Area 20,2018,ASSAULT,33824,13,0.38434247871333965
Area 21,2018,ASSAULT,5040,3,0.5952380952380953
Area 22,2018,ASSAULT,19425,7,0.36036036036036034
Area 23,2018,ASSAULT,12283,7,0.5698933485304893
Area 24,2018,ASSAULT,33501,19,0.5671472493358407
Area 25,2018,ASSAULT,16472,8,0.48567265662943176
Area 26,2018,ASSAULT,17300,12,0.6936416184971098
Area 27,2018,ASSAULT,11133,9,0.8084074373484236
Area 28,2018,ASSAULT,38522,19,0.4932246508488656
Area 29,2018,ASSAULT,26811,15,0.5594718585655141
Area 30,2018,ASSAULT,14639,6,0.409864061752852
Area 31,2018,ASSAULT,24741,9,0.3637686431429611
Area 32,2018,ASSAULT,14325,11,0.7678883071553229
Area 33,2018,ASSAULT,31509,12,0.38084356850423684
Area 34,2018,ASSAULT,25959,8,0.30817828113563694
Area 35,2018,ASSAULT,19402,6,0.30924646943614065
Area 36,2018,ASSAULT,10966,2,0.18238190771475468
Area 37,2018,ASSAULT,33798,21,0.6213385407420557
Area 38,2018,ASSAULT,31835,10,0.31411967959792686
Area 39,2018,ASSAULT,17048,10,0.5865790708587517
Area 40,2018,ASSAULT,20149,11,0.5459328006352673
Area 41,2018,ASSAULT,10026,5,0.4987033712347895
Area 42,2018,ASSAULT,37605,19,0.5052519611753756
Area 43,2018,ASSAULT,21151,9,0.42551179613257056
Area 44,2018,ASSAULT,30558,11,0.3599712023038157
Area 45,2018,ASSAULT,19214,12,0.6245446028937234
Area 46,2018,ASSAULT,19286,8,0.41480866950119255
Area 47,2018,ASSAULT,28193,7,0.24828858227219525
Area 48,2018,ASSAULT,29557,12,0.4059951957235173
Area 49,2018,ASSAULT,39975,19,0.47529706066291433
Area 50,2018,ASSAULT,19490,6,0.3078501795792714
Area 51,2018,ASSAULT,22412,14,0.6246653578440122
Area 52,2018,ASSAULT,17047,10,0.586613480377779
Area 53,2018,ASSAULT,39723,24,0.604183974020089
Area 54,2018,ASSAULT,25476,10,0.39252629926205057
Area 55,2018,ASSAULT,22368,13,0.5811874105865522
Area 56,2018,ASSAULT,36541,13,0.35576475739580193
Area 57,2018,ASSAULT,26068,11,0.42197330059843485
Area 58,2018,ASSAULT,35574,11,0.30921459492888065
Area 59,2018,ASSAULT,38752,15,0.3870767960363336
Area 60,2018,ASSAULT,23890,10,0.4185851820845542
Area 61,2018,ASSAULT,16283,8,0.49130995516796666
Area 62,2018,ASSAULT,21578,14,0.6488089721012141
Area 63,2018,ASSAULT,31800,11,0.3459119496855346
Area 64,2018,ASSAULT,30901,13,0.4206983592763988
Area 65,2018,ASSAULT,33077,16,0.48371980530277836
Area 66,2018,ASSAULT,8832,2,0.22644927536231885
Area 67,2018,ASSAULT,31027,15,0.4834498984755213
Area 68,2018,ASSAULT,19535,11,0.5630918863578194
Area 69,2018,ASSAULT,22532,6,0.2662879460323096
Area 70,2018,ASSAULT,31502,16,0.5079042600469811
Area 71,2018,ASSAULT,27762,8,0.28816367696851813
Area 72,2018,ASSAULT,37952,20,0.5269814502529511
Area 73,2018,ASSAULT,5412,1,0.18477457501847747
Area 74,2018,ASSAULT,15761,10,0.6344775077723495
Area 75,2018,ASSAULT,35570,11,0.3092493674444757
Area 76,2018,ASSAULT,13985,9,0.643546657132642
Area 77,2018,ASSAULT,19744,13,0.6584278768233387
Area 78,2018,ASSAULT,30945,14,0.45241557602197446
Area 79,2018,ASSAULT,19803,9,0.4544765944553856
Area 80,2018,ASSAULT,11600,11,0.9482758620689655
Area 81,2018,ASSAULT,11789,2,0.16964967342437867
